label,text
sci.electronics,hi electronic engineering student electronic ii belt find needing build moderate wattage audio amp ill throw couple question vast knowledge net please explain watts calculated audio amp circuits pie relates one following ai current gain av voltage gain ap power gain whatever already wonderful cheap ie schematic w amp would like crossimprove circuit problem parts list ic ic nec ab amplifiers look like pin sip packages heatsink schematic published mag may nonexistant anyway tried looking replacement latest digikey cat found listed closes could figure pin sip tda bu anyone got ideas thought hey rin pspice simulation using opamp models yea great worked guess wasnt made high power amps result got voltage gain mvv worse started anyone pspice ckt file cheap yet good gain models chips listed email ascii chip info guys send im open suggestionsideascommentshelp please email since little time search news ill post theres interest john ibm ee majors best atari john zitterkopf aol
comp.sys.mac.hardware,jann vanover wrote coworker attached magnetooptical drive mac works great however tried turn file sharing wouldnt work message volumes shareable anyone success sharing mos please tell hi needs insert mo filesharing get turned one see disk owner machine im sure seems check allow owner see entire disk enabled bad thing cant eject disk fs turned hope helps pablo millan l mis opiniones son mias pero te las puedo vender email seeds limitada santiago chile research im dont know im w von braun
misc.forsale,roberto clemente topps baseball card sale nearmint condition really close mint condition get lists recent baseball card pricelist may offering ill pay certified postage ship please respond ext maryland
soc.religion.christian,article michael covington writes two historic facts think important jesus didnt rise dead must done something else equally impressive order create observed amount impact nobody ever displayed dead body jesus even though jewish roman authorities would gained lot would discredited christians michael covington internet artificial intelligence programs phone university georgia fax athens georgia usa amateur radio n tmi two simplest refutations impact record impact comes new testament guarantee books least accurate recorded impact actually happened find interesting contemporary source records eclipse earthquake temple curtain torn etc earliest written claim jesus resurrection pauline epistles none written sooner years supposed event seems probable one displayed body jesus one knew personally believe likely explanation body stolen disciples graverobbers dont bother point guards appears one gospel seems like exactly sort thing early christians might make order counter graverobbing charge new testament record jews believed body stolen really guards could effectively made claim scott
talk.politics.mideast,article center policy research writes written pm apr igcmideastforum israeli press madness israeli press paper zman tel aviv tel avivs time friday local tel avivs paper affiliated maariv date february journalist guy ehrlich cherry units disguise arabs operate within occupied territories excerpts article lot written units disguise arabs things good bad falsehoods important problem units hardly dealt everyone serves cherry time goes one way another insane gee id better tell mental health branch israeli army medical corps would without davidson man said called danny full name known editors served cherry discharge army works delivery boy pal called dudu also serving cherry depart roundtheworld tour look different average israeli youngsters freshly discharged conscript service souls one notice something completely differentit easy come disclosures happened think fellows cherry woundnt easy either yet began talk nearly impossible make stop talking following article contain horror stories recounted appalling openness short time ago command veteran team fellows applied release cherry called soldiers hi hit intifada command soldier talked nonstop common phenomenon cherry sent psychiatrist talk others feel quite insane fridays come home parents know cannot talked go beach surf little calm return keys fathers car must ready advance go dare talk whenever dont want talk grab chair smash instantly know nerve smashing chairs time running away home car beach become normal another friday eating lunch prepared mother omelette sorts took risk sitting next talking told mother event still fresh mind told shot arab exactly wound looked like went inspect began laugh hysterically wanted cry dared laugh straight face instead told pal made mincemeat two arabs preparing molotov cocktails shot hitting beautifully exactly deserved one bullet set molotov cocktail fire effect arab burning beautifully delighted see pal fired three bullets two arab molotov cocktail third chum hit straight ass felt wed pulled something next told mother another pal mine split open guts belly another arab us ran toward spot take look reached spot first arab blood gushing forth body spits yelled shut dared talk back hebrew laughed straight face usually laughing stare something convulsing right eyes told right wait moment left order take look another wounded arab asked soldier arab could saved bleeding artery could stopped help stone something else like keep telling mother details keeps laughing straight face infuriated got angry felt becoming mad stopped eating seized plate omelette trimmings still threw head stopped laughing first didnt know say must tell still madness falls upon us frequently went friend practice shooting field gull appeared right middle field friend shot noticed four deer standing high sigh four deer tel aviv well probably accurate rest fantasy hill us friend aimed one shot enjoyed sight falling rock shot two deer went take look climbed rocks saw young deer badly wounded bullet still trying milk already dead mother carefully inspected two paths covered blood chunks torn flesh two deer hit delighted sight hitem good decided kill young deer spare suffering approached took revolver shot head several times short distance shoot straight head actually see bullets sinking fifth bullet made brains fall outside onto ground effect splattering lots blood straight us made us feel cured spurt madness standing soaked blood felt like beasts prey couldnt explain happened us almost tears walking hill felt whole day badly always go back places carried assignments see see guy disabled may rest life feel got power feel godlike sorts danny dudu contemplate least moment studying acting dudu willing work securitylinked occupation danny feels exact opposite shouldnt take advantage skills mastered well shouldnt earn chopped head would deliver mercenary south africa kind job suits perfectly human emotions get reasonable salary problem board plane bosnia order fight transl israel shahak yisrael shahak crackpot chemist figures often see rechavia jerusalem post office really sad figure actually feel sorry concentration camp holocaust must affected deeply josh
comp.sys.mac.hardware,article rich spiegel writes article charles g williams writes good deal still dont know would say good deal junes macworld river formerly maya computer advertised daystar mhz powercache believe know prices would falling geeze actually mhz powercard universal powercache mhz universal powercache fpu adaptor still bad deal believe powercard one generation older universal powercache one primary difference powercard machine specific powercache fit many macs proper adaptor cards based im sure hardware software powercard otherwise different powercache perhaps someone could enlighten would also add called river computer night powercards going fast rich spiegel mission analysis group johns hopkins road laurel md x side note ad macworld selling mhz powercache iisi fpu thinking upgrading mhz turbo upgrade costs direct daystar comes cheaper mailorder companies charge jon
rec.motorcycles,disks wont erase youre carrying bag cathy cathy saum negley ave yamaha seca xj pgh pa cl custom wooden tank studio mustang v dod supercalifragilisticexpealidotious see know feel feel nobody ever take away tm mcnally heart stops
sci.electronics,try sgs l achieve current levelmicrostep teere circuit sgsthomson smart power applicatio manual order code manual amsmartpowerst best regards moisiew hong email hewlettpackard malaysia bayan lepas free trade zone tel fax penang malaysia
alt.atheism,sn mozumder writes insults atheistic genocide totally unintentional atheism anything happen good bad including genocide know youve conveniently defined theist someone wrong youve defined people wrong atheists statement circular mention bigoting value sami aario see measure atom yet explode one sunlight comprised many atoms stupid minds stupid stupid eros plan outer space disclaimer dont agree eros
talk.politics.guns,two situations hardly analogous unless wish make dubious claim us legal system would provide equivalent treatment bd children romans conquered rebels actually analogy calls branch davidian feeling treatment would along lines military assualt instead peacefull effort serve warrant weeks os siege feeling might completely irrational actually one survivors wanted institute civil rights violation lawsuit treasury dept would claim batffbi blame mass hysteriainsanity without due process siegers shone lights laser beams multicolored spotlights playing loudly amplified music consisting everything tibetan chant heavy metal coupled fear poor nutrition rampant paranoia id say likely poor nuts made even nuttier isnt sleep deprivation sensory overload etc part new age method torture
comp.os.ms-windows.misc,hi anyone tell get copy updated canon bj printer driver windows ver comes bj printer wonder newer version thanks much please email
comp.windows.x,cutsie little macintrashlike icons instant recipe mousitis imho system undoubtedly worst gui used riscos mswombles x simply provide enough keyboard shortcuts windows must confess quite like cover ears actually use without ever touch mouse stuff delete user rather making things easier always option way want like unixx combination much customizable hear hear agree completely one thing cant stand mac interface shear determination force use mousewhat mouse breaksyour whole system like mouseit handy occassions cut past moving icons around etc work keyboard hot keys times faster using mouse sure plus able something simple inexperienced user long experienced month two speaking pcs moment dont think much ask window programmers provide menumouse interface also look forward would like move hot keys command line interfaces usually allows less time experienced equally applies windowing systems unix especially since unix least powerful dos seth buffington uss gab unix operator
alt.atheism,charley wingate writes keith ryan writes ignore criticism logic possible incongruenties stance answer questions validity opinion andor facts state start saying thats said response theres reason continue someone going argue version position cannot argued course version position included charley challenges claim flatout lie last week claimed might answer challenges turned included text want context included articles come think contradiction makings new entry next challenges post way ive kept every bloody thing youve written related thread pleased repost back position seem forgotten leave electronic paper trail net usual theist approach matter many times certain argument disproven shown nonapplicable nonsequitur keep cropping time time speaking nonsequiturs little said sauce goose disproof fallacies repeated law nature argument someone posted recently lets change subject wouldnt best finish thread question begin new ones dave wood
sci.space,wierd warned plan put satellite around planet solar system keep watch help better ask questions spout opinion mission unmanned pluto stay orbit record things around near pluto know strange idea could scanning pluto also solar system objects near aaroundpluto well seti looking galaxy without much solar system worry michael adams im high jacked
rec.sport.hockey,article sam wong writes weeks ago read toronto sun quote alex went something like sarcastically yep pattys man hes responsible teams successim nobody around assume sarcastic remark someone whose first language english would interpret comment mean believes pat mvp team one normal players quite modest might say well dont recall assuming anything except perhaps columnist reported incident telling truth ie sarcastic impression came steve simmons besides knowledge alex pretty fair grasp english languageand recent comment detroit game would indicate remark think low
comp.graphics,could someone please post list good threed modelers run sparc stations preferably cheap thanks richard
soc.religion.christian,article peter trei writes article writes much deleted point today might masons note worshipped osiris egypt much deleted bugs see kind nonsense first reasonable evidence linking masonry ancient egypt even existed prior late th century theres nothing definitive th wifes uncle level mason let look books death brothers came took greiving widow body even cooled dont tell dont worship osiris must past th level read wilkinsons egyptians shows egyptian religion paralleling british masonry man laboratory degree black mason ive talked though much likes hide mystery special handshakes first started trying evangelize told kinds special special truely mystery religion public side motorcyle mania childrens hospitals priviate side highest degree mason every learns second worship osiris ever part masonic practice strictly nondenominational havent read literature offered silver haired apologist cant remember name tv didnt exactly come conclusion khons son great goddessmother seems gernaerally represented fullgrown god babylonian divinity also represented frequently egupt wayas land nativity ie child mothers arems way osiris son husband mother often exhibited learn god equally case khonso shows original none nimrod admitted secret system free masonry originally founded mysteries egyptian isis goddessmother wife osiris could led union masonic body mysteries particular reference architecture god worshipped celebrated success perfecting arts fortification building case considering relation already seen egypt stood babylon would naturally liiked great patron masonic art strong presumption nimrod must man first gained faim way child babylonian goddessmother worshipped character ala mahozim god fortification osiris child egyptian modonna equally celebrated strong chief buildings strong chief buildings origninally worshipped egypt every physicall characteristic nimrod already noticed fact nimrod son cush negro tradition egypt recorded plutarch osiris black hislop like cold slap face wifes uncle brought cerimonial dress leopard skin mean real leopard skin told highest degrees wore leopard skin reason started telling given couple months live wife led saving faith christ immediately repented mysteries lodge nimrrod nimr leopard rada rad subdue universal principle idolatries high priest wears insignia god serves representation osiris usually show wearing leopard interesting druids britian also show say hide representation however worshipped spotted cow ill stand statements masonry mystery religions find source babylon great harlot sorry peter mean cold slap face much evidence contrary masonry doesnt find origins egypt masons personally talked refered egypt origin separating many years ago freely admitted rex
talk.politics.misc,talkpoliticsmisc boomer writes janet like hostages quickfried crackly crunch baked delicate crunch would like fries sir
comp.graphics,howdy wonko sane writes recently talking possible employer mine made reference bit graphics computerimage processing system seem remember called image something akin anyway claimed bit color bit alpha channel thats bits infowhat could possibly specifically bit color thats trillion colors many human eye resolve antialiasing thing magic number make work better certain processor hmm bit aye well beats bit design thee sake ellegance bit means bits per primary colour nr colours bit misleading makes sense see possible shades pure red might actually make sense since shades red bit colours may produce visible jumps intensity byte per primary colour pixel elegant way colour graphics leaves ya tidy fast program code take care bram flying nack trick bram stolk throw ground dept maths computer science miss douglas adams university amsterdam dont use mswindoze prefer linux
talk.politics.mideast,bill coleman writes responding discussion mosque jerusalem allegedly destroyed israel bc todays jerusalem post magazine feature story bc ongoing restoration synagogues jewish quarter author bc leah abramowitz writes fiftyseven synagogues bc quarter destroyed says used bc donkey stables building shells bc bc still find really really hard understand demolition bc buildings front kotel continues evoke outrage bc everything much cheaper happens jews bc bc double standard human behavior regarding jews must manitained perfect example outcry temporary removal men advocated murdering jews destroying state israel compared deafening silence abusive treatment jews arab countries past years compare tacit appoval world gives muslims randomly murder jewish civilians righteous indignation expressed people occupied territories kept working israel effort reduce random murders occuring everyone knows country required accept foreign workers except israel course jewish blood always cheap nonjewish world ha never regarded form jewish suffering important except jews models powerless victim holding high moral ground world war however soon jewish people started take care ancient hatred jews unleashed doubt nonjewish world even capable compassion towards jews antisemitism ancient basic christianity islam golda meir said would peace arabs love children hate jews know arab parents love children would send children streets throw rocks men trained defend guns world obsessed hatred jews trying defend yet even question actions parents simply allow children encourage throw harms way even arab children expendable tragic deaths used neverending propoganda battle blame israel jews misfortune befalling arabs middle east jew person whose integrity decays unmoved knowledge wrong done people j heschel
sci.crypt,even interesting smtp server csrcncslnistgov longer recognizes expn vrfy commands telnet csrcncslnistgov smtp trying connected csrcncslnistgov escape character firstorg sendmail nist ready tue apr edt expn clipper command unrecognized seems like sombody didnt like snooping around marc mine dozen people probably idea rush shut imply names list heavyduty spooks g
talk.politics.guns,article brent irvine writes article c tavares writes article michael frederick rhein writes napalm let wood stove inside ignite someone else pointed would stove use warm day texas eat food cold ever hear electric ovens microwaves popular electric stoves outside metroareas especially power cut weeks end generators doubt fuel would wood stoves kerosene lanters maybe alleged tanks pushing walls knocked lanters starting fire remember fbi bugs even used illegally eavesdrop private conversations lawyers suicide order given would known time feds concerned would emergency equipment ready hour later leaving water turned could turned back didnt wanna scores settle without prejudice ucc pat myrto seattle wa else fails try uunetpilchuckrwingpat wisdom two things infinite universe human stupidity sure former albert einstien
comp.windows.x,article frederick roeber writes im writing x server videogeneration equipment hardware truecolor yuv space x terms bit static color visual would really like server present static visual im sure acceptable x clients three problems see colormap though huge static pixels would bytes wide hardware actually lives yuv space translation rgbyuv introduce rounding error tried ship x server supported bit truecolor visual main problems encountered clients written logic like following defaultdepth assume default depth bit clients need bit deep visual root window run correctly clients didnt even bother much outright assumed dynamic visual class dynamic colormap xstorecolors doesnt work cmaps associated static truecolor visual classes many clients dont bother check start throwing xstorecolor calls though clearly client error case many clients easier expose bit pseudocolor default root window visual ever would client writers change clients right thing paul evans sutherland
sci.crypt,jerry han writes point matter yes serious problem end world guess something cant communist country nazi germany john edgar hoovers usa complaining rather youre complaining nobody shooting us yet guess people live one countries world person complain without getting shot yet people always complaining somebody wrong somebody wrong whatever sit figure two things done right much worse get youll find pretty damn lucky far lets talk get action going decide whats going lets overreact harm overreacting may largest single threat civil liberties yet lifetime us done pretty heinous things past havent yet recovered certainly seems historical trend towards less liberty occasional perturbations time break quotes american political radicals lyle transarc grant street gulf tower pittsburgh instances abridgement freedom people gradual silent encroachment power violent sudden usurpation james madison
rec.sport.baseball,article steve c liu writes teams believe cubs best record ever baseball sometime way far back something think cleveland indians
rec.sport.hockey,anna matyas wrote wasnt ron francis captain whalers traded pittsburgh still imho ranks alltime greatest pr blunder mention onice blunder whalers ever committed gm eddie johnston coach rick ley decided francis incapable leader stripped captains c december whole organization read ej ley default owner richard gordon much dupe know much blindsided ej dumped francis season starting refusing sign new contract publicly humiliating stripping c trading spring penguins classy guy ej loss francis lesser extent ulf one series decimating player moves ej stripped personality fanawareness team put precarious position today gratuitous good ej notehe preside organization acquired verbeek cassels sanderson poulin nylander etc stripped roster lay foundation sg real live hartford whalers season ticket holder
comp.sys.ibm.pc.hardware,quick question regarding rockwell chipset thatscome relatively recentlyit supports v v bis v group iii fax however heard bugs chipset know someone zoom modem uses chipset hasnt problem whats word chipset rom bug specific specific brand using rockwell rockwell chipset rockwell chipset chances buy one modems using rockwell chipset bug affect b rom change fixcompensate bug please send responses via email joe zbiciak joseph zbiciak disclaimerif believe check head nuke whales
rec.autos,article joseph mazza writes btw saw new q tv weekend big changes grille added looks nice wood interior otherwise looked largely unchanged changed lights slope hood along new grille otherwise unchanged interestingly lack wood lack grille big design statement tried defy conventional wisdom carve niche unfortunately sales half lexus hence join pack still wonder much problem wasnt slow start initial ad campaign personally like q without grille steve morris internet addiction studies pgm uucp uwbeaveruunetgtenmcdataiosumaxsmorris seattle university phone dept direct seattle wa
sci.space,article steinn sigurdsson writes problem oort cloud sources absolutely plausible mechanism proposed would involve new physics far tell closest conventional oort sources model bfield pinching comets got many holes count least good try plausible model grbs astronomical distances recent observations ruled merging neutron star hypothesis lot problems anyhow look implausible models fundamentally allowed independent models paper possibility grbs oort cloud came astrophysics abstract service get copy paper send message subject line get abstract paper currently favored explanation origin grbs puts cosmological distances long distance indicator events possible sources isotropically distributed remain consideration oort cloud comets kept list although known mechanism generating grbs cometary nuclei unlikely may seem possibility grbs originate solar cometary cloud cannot excluded disproved use available data distribution grbs batse catalogue march catalogue cometary orbits marsden williams investigate whether observational indication correlations angular distributions grbs comets aphelia assuming distribution aphelia direction reflect least extent true variations column density oort cloud also apply vov test distributions performed variety statistical tests kolmogorovsmirnov test distributions galactic latitude chi test spherical multiple moments crosscorrelation analysis including testing subsamples isolating effect possible observational biases tests imply unlikely two distributions agree statistical significance sufficient ruling connection complete confidence performed montecarlo simulations show number bursts exceeds sim possible rule correlation angular distributions currently combination tests large disagreement found vov parameter makes oort cloud comets unlikely related grbs
talk.religion.misc,andrew bulhak wrote jim kasprzak wrote article stephen andrew weinstein writes kibology chopped liver kibo summed saying kibology religion also candy mint floor wax personally think like spam clear im presently searching enlightenment answers unanswerable certain amount direction without actually going anywhere could kibology dont know enough kibology wish someone help ive spread ninth tube anchovy paste living room wall creat form art need higher authority turn towards give life meaning maybe kibology answer either go store buy another case anchovy paste
