,text,label
51,"Oh, sorry bud. Didnt mean to be rude",sadness
52,Constitutional protections are our best bet. They're the hardest to overturn.,neutral
53,> Or is this another attempt to get remainers on-side without actually committing to anything? Pretty much,confusion
54,World has Turned and Left Me Here.,sadness
55,For the love of [NAME] stop making him relevant. Please.,annoyance
56,LMFAO us going up 2-0 and losing the game name a more iconic duo I dare you,amusement
57,Shock collars are horrible. They poor pup. 😫,fear
58,"Well, I hope everything is going well in your retirement. Do your best to enjoy it :).",optimism
59,that most of the fandom does not get that reference is depressing,disappointment
60,I’m just glad to finally see something truly cringy in a while,embarrassment
61,Yep. Still don't know what you're talking about. Come back when you actually read the pdf and become informed.,confusion
62,"Yes, he needs to sit the fuck down, that's all I have to say.",annoyance
63,"At the very least our shithousery is better, and I highly doubt there's any [NAME] who can outda the da's on here",confusion
64,My gf is a huge TSwift fan and loves Friends. R u tryna steal my girl pal,love
65,"I find that even when I wear a hat, I ""look [RELIGION]"" and get the same hate.",annoyance
66,"Let's keep making that trade with different teams until we have all 32 picks in the 6th round one year Sorry, I'll go back to my NHL19",remorse
67,"Yeah, It's just difficult to resist the lure of the dark side.",disappointment
68,oooh yeah your comment makes sense now :),realization
69,Nice-full circle! Leaving [NAME] for dust- I love it.,joy
70,"I do not think it is 'wrong', I just see that the Pluses outweigh the Minuses. ",neutral
71,"That was a hell of a tip, that happens",anger
72,[NAME] is also in a HEAP of financial and technically legal trouble right now. lol,amusement
73,"I sure as sugarplums aint seen any ""gives"" around ",approval
74,I feel like you and i share a mind. I appreciate your creativity!,admiration
75,"That was the one I was thinking of! I can't remember which episode it was on now, but it fantastic",admiration
76,"I always loved fighting [NAME] in Arkham Origins, he was really fun to fight, I’m still mad they did him dirty in Arkham Knight",love
77,"Definitely, I also get suspicious when someone tries to be my friend which doesn’t help",approval
78,Just don't stop with the damn good cooking though please lol.,amusement
79,So weird watching this segment knowing what happened a couple days ago.,embarrassment
80,I will make it proper! 🔪🔪🔪🔪🔪🔪,desire
81,"Yes please. Take the cheeto too, fuck it.",anger
82,Oh my [NAME].,surprise
83,"On this blessed day, we are all KQLY.",joy
84,"Had a baby before, those movements should be the last of your worries",sadness
85,I dated a girl once who made a gb with her cup holder. Dropped my phone in it once,embarrassment
86,Being ugly at some point in your life doesn't mean you deserve death.,neutral
87,Be honest with her... or put her on a pedestal just high enough to see up her dress... ;),caring
88,I love those moments where [NAME] finds a teammate opens and whips the ball at them but our guys are tuned out and don't expect it.,love
89,"Well, I was going to surprise you [NAME], but what the heck...I’m gaining a bunch of weight to go on disability!",disappointment
90,Burn wait someone already did it sorry,remorse
91,"Nah man presses, but good ones... the pharma kalmas are long gone bro, here in Australia anyway",admiration
92,[NAME] has really given his all in the second half. He must be exhausted,caring
93,i'm so poor i don't even know any horse girls,sadness
94,"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion
95,"Hi! :) Because I am broke, I guess.",sadness
