text,label,cluster
Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,4,1
"Too much of Nemesis has a tired , talky feel .",2,1
The 50-something lovebirds are too immature and unappealing to care about .,1,0
"Ratliff 's two previous titles , Plutonium Circus and Purgatory County show his penchant for wry , contentious configurations , and this film is part of that delicate canon .",4,1
"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",4,1
"A cultural wildcard experience : wacky , different , unusual , even nutty .",5,4
"Bisset delivers a game performance , but she is unable to save the movie .",3,1
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,1
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,1
